state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff,gop_leads
Alaska,2020,State House District 20,3025,3910,6935,-885,0.4361932227829848,0.5638067772170151,-0.127613554,0
Alaska,2021,State House District 21,3982,4711,8693,-729,0.4580697112619349,0.5419302887380651,-0.083860577,0
Alaska,2022,State House District 22,2587,2656,5243,-69,0.4934197978256723,0.5065802021743276,-0.013160404,0
Alaska,2023,State House District 23,6101,4116,10217,1985,0.5971420182049525,0.4028579817950474,0.194284036,1
Alaska,2024,State House District 24,6481,3234,9715,3247,0.6671127123005661,0.3328872876994339,0.3342254246011322,1
Alaska,2025,State House District 25,6885,3170,10055,3715,0.6847339632023869,0.3152660367976131,0.3694679264047737,1
Alaska,2026,State House District 26,7131,2009,9140,5122,0.7801969365426696,0.2198030634573304,0.5603938730853393,1
Alaska,2027,State House District 27,6778,1807,8585,4971,0.7895165987186954,0.2104834012813046,0.5790331974373908,1
Alaska,2028,State House District 28,6710,2210,8920,4500,0.7522421524663677,0.2477578475336322,0.5044843049327354,1
Alaska,2029,State House District 29,7414,2705,10119,4709,0.7326810949698587,0.2673189050301413,0.4653621899397173,1
Alaska,2030,State House District 30,7301,2700,10001,4601,0.730026997,0.269973003,0.460053995,1
Alaska,2031,State House District 31,3474,3238,6712,236,0.517580453,0.4824195470798569,0.035160906,1
Alaska,2032,State House District 32,3742,1883,5625,1859,0.6652444444444444,0.3347555555555555,0.3304888888888889,1
Alaska,2033,State House District 33,6546,2016,8562,4530,0.764540995,0.2354590049053959,0.5290819901892081,1
Alaska,2034,State House District 34,5830,3755,9585,2075,0.6082420448617631,0.3917579551382368,0.2164840897235263,1
Alaska,2035,State House District 35,4394,4883,9277,-489,0.4736444971434731,0.5263555028565269,-0.052711006,0
Alaska,2036,State House District 36,5626,3525,9151,2101,0.6147961971369249,0.3852038028630751,0.2295923942738498,1
Alaska,2037,State House District 37,2189,1905,4094,284,0.5346849047386419,0.465315095,0.069369809,1
Alaska,2038,State House District 38,1502,1993,3495,-491,0.4297567954220315,0.5702432045779685,-0.140486409,0
Alaska,2039,State House District 39,1695,2157,3852,-462,0.4400311526479751,0.5599688473520249,-0.119937695,0
Alaska,2040,State House District 40,1653,1340,2993,313,0.5522886735716672,0.4477113264283328,0.1045773471433344,1
Arizona,4001,Apache ,12795,18872,32019,-6077,0.3996064836503326,0.5894000437240389,-0.18979356,0
Arizona,4003,Cochise ,35936,22296,58923,13640,0.6098806917502503,0.3783921388931317,0.2314885528571185,1
Arizona,4005,Coconino ,27576,41504,70067,-13928,0.393566158,0.592347325,-0.198781167,0
Arizona,4007,Gila ,18901,8504,27648,10397,0.6836299189814815,0.3075810185185185,0.3760489004629629,1
Arizona,4009,Graham ,11177,3867,15183,7310,0.7361522755713628,0.254692748,0.4814595271026807,1
Arizona,4011,Greenlee ,2308,954,3308,1354,0.6977025392986699,0.2883917775090689,0.4093107617896009,1
Arizona,4012,La Paz ,5470,2101,7624,3369,0.7174711437565582,0.2755771248688352,0.4418940188877229,1
Arizona,4013,Maricopa ,1051531,980016,2053945,71515,0.511956747,0.4771383849129358,0.034818362,1
Arizona,4015,Mohave ,85683,24081,110450,61602,0.7757627885921231,0.218026256,0.5577365323675871,1
Arizona,4017,Navajo ,29480,20754,50706,8726,0.5813907624344259,0.4093006744763933,0.1720900879580325,1
Arizona,4019,Pima ,214669,292450,513176,-77781,0.4183145743370695,0.5698824574804745,-0.151567883,0
Arizona,4021,Pinal ,126926,80656,209552,46270,0.6057016874093304,0.3848973047262732,0.2208043826830572,1
Arizona,4023,Santa Cruz ,7699,11265,19121,-3566,0.4026463051095654,0.5891428272579886,-0.186496522,0
Arizona,4025,Yavapai ,99346,48717,149402,50629,0.6649576310892759,0.3260799721556606,0.3388776589336152,1
Arizona,4027,Yuma ,40745,26823,68195,13922,0.5974778209546154,0.3933279565950583,0.2041498643595571,1
